frame_number,track_id,label_bbox,label_bbox_score,read_label,text_score
55,3.0,[392.798828125 245.8531494140625 468.503662109375 286.162841796875],0.7822365164756775,1257,0.9750253862428883
55,4.0,[207.58172607421875 356.2171936035156 260.3994140625 502.0596008300781],0.7319804430007935,1,0.8211221593485938
56,2.0,[398.50604248046875 253.34490966796875 474.4515380859375 292.18243408203125],0.8372567296028137,44151,0.15896834334558052
56,4.0,[211.34466552734375 360.44451904296875 263.8179931640625 507.34405517578125],0.7354567050933838,1,0.7246101111570944
57,3.0,[402.82867431640625 260.19683837890625 478.92315673828125 301.17181396484375],0.781113862991333,1337,0.40055304765701294
57,4.0,[216.00399780273438 365.6385498046875 262.4878845214844 513.319091796875],0.6908490061759949,1,0.8024822982339721
58,4.0,[220.96249389648438 371.04962158203125 277.2696838378906 517.9591064453125],0.7649739384651184,7,0.21742666711994563
59,3.0,[415.004638671875 273.9775390625 488.74029541015625 312.17138671875],0.7903183698654175,32,0.3939747521936039
59,4.0,[226.32351684570312 375.9708251953125 279.7259826660156 521.8927001953125],0.7569977641105652,1,0.45630190819032634
60,3.0,[418.41650390625 277.922119140625 495.362548828125 318.3052978515625],0.8027931451797485,120704,0.2491140739960429
60,5.0,[228.8330078125 379.5992431640625 281.3511962890625 526.1490478515625],0.6387766599655151,1,0.6206825815324954
61,2.0,[423.5516357421875 283.45379638671875 500.77960205078125 324.83203125],0.8378910422325134,1267,0.44484707713127136
61,5.0,[231.36813354492188 385.95172119140625 280.8381042480469 529.7361450195312],0.6179569363594055,1,0.3087927566778035
62,3.0,[426.8238525390625 290.4579772949219 499.50982666015625 329.7060241699219],0.8185170292854309,1262,0.5083003640174866
62,4.0,[235.87286376953125 388.42730712890625 291.80810546875 532.0805053710938],0.6860371828079224,41,0.45143332107281714
63,3.0,[431.191162109375 293.053466796875 505.48883056640625 335.022705078125],0.8001555800437927,9056,0.3108856678009033
63,4.0,[236.94219970703125 391.515869140625 293.50323486328125 534.9012451171875],0.703033447265625,1,0.6200070315963444
64,4.0,[239.62677001953125 393.82659912109375 294.81011962890625 538.5673828125],0.6409857273101807,1,0.8274898491325224
65,4.0,[233.3026123046875 402.0845947265625 294.110595703125 541.3981323242188],0.6382476091384888,1,0.6335494895117542
66,4.0,[235.44363403320312 404.3636474609375 294.2809143066406 545.2762451171875],0.7088744640350342,1,0.8947043016084457
67,4.0,[233.59765625 407.0570068359375 294.4495849609375 548.5955810546875],0.6962509155273438,1,0.8221961453376849
68,2.0,[433.717041015625 321.9549560546875 507.2557373046875 366.1922607421875],0.8065261840820312,120705,0.0865579942497005
69,1.0,[432.08648681640625 325.78717041015625 508.36700439453125 370.68450927734375],0.8836278319358826,1781620564,0.21248810824229306
69,2.0,[385.4801025390625 680.8297729492188 435.0247802734375 701.9304809570312],0.8343333601951599,1601,0.47498011589050293
70,2.0,[432.03631591796875 326.26263427734375 505.4599609375 374.77215576171875],0.8398527503013611,1287,0.4250486965076562
71,2.0,[426.592529296875 327.81915283203125 501.31365966796875 374.89971923828125],0.8503986597061157,12872,0.35890894637726173
71,3.0,[374.735595703125 684.960205078125 424.7313232421875 702.271240234375],0.7963857054710388,774017,0.23405546650250897
71,4.0,[220.69757080078125 411.1510009765625 282.04876708984375 550.98388671875],0.7391006946563721,1,0.7002423850847208
72,2.0,[422.3616943359375 328.201416015625 498.36767578125 377.5716552734375],0.8475534915924072,12073,0.907126888475687
72,4.0,[216.02926635742188 410.28759765625 278.5771789550781 550.8164672851562],0.6642434000968933,4,0.10717466037385748
73,2.0,[418.288818359375 327.87884521484375 494.59490966796875 379.57183837890625],0.8461064100265503,9,0.9759002828687358
74,4.0,[199.56103515625 409.997314453125 266.9932861328125 547.2635498046875],0.6785210967063904,1,0.11705065661434233
75,3.0,[343.04071044921875 688.7642822265625 395.2135009765625 704.0765380859375],0.7840787172317505,3,0.6310855280876382
75,4.0,[191.46319580078125 409.198974609375 269.6435546875 544.6953125],0.6242203712463379,6,0.9759078197840267
82,1.0,[402.4579772949219 335.1785888671875 479.5348815917969 393.1571044921875],0.8811870217323303,138148,0.15500484846081278
83,1.0,[403.2015380859375 335.7562255859375 481.430908203125 393.9888916015625],0.8669372797012329,1614,0.1064460426568985
83,2.0,[496.94952392578125 683.1759033203125 551.1110229492188 725.5123291015625],0.856238067150116,4,0.6402906366261618
84,1.0,[496.3912353515625 686.6832275390625 548.4168701171875 727.7911376953125],0.8586285710334778,621,0.02963594299143281
84,2.0,[404.77490234375 336.78759765625 481.9404296875 395.599853515625],0.8468593955039978,167515,0.056936588010458554
85,2.0,[407.6142578125 337.23431396484375 483.99627685546875 397.46893310546875],0.8244413137435913,34,0.1876844191731985
87,1.0,[415.62371826171875 338.6591796875 486.43902587890625 400.6572265625],0.8643932342529297,12872,0.340481480187781
